Satisfacción con la atención,Satisfacción con los diseños,Satisfacción con las ventas físicas,Satisfacción con las ventas en línea,Ganancias por cliente ($)
0,1,0,0,315
1,0,0,0,233
1,1,1,0,814
0,1,0,0,256
1,1,1,1,937
1,0,1,1,725
1,0,0,0,114
0,1,1,1,678
1,1,0,0,342
0,1,0,1,236
0,0,0,0,51
0,0,0,1,142
1,1,1,1,769
0,0,1,1,214
1,1,0,0,237
0,0,0,0,34
0,1,1,0,269
0,1,0,1,313
0,0,0,1,121
0,0,0,1,96
0,1,1,0,272
1,0,1,0,146
0,1,0,0,99
0,1,0,1,193
0,1,1,0,147
0,0,1,0,110
0,0,0,1,87
1,1,0,1,348
0,1,0,0,97
0,1,0,0,135
